"Estimate","Est.Error","Rhat","converged","Parameter"
-0.720667156709949,0.230322277642981,1.00005346984863,TRUE,"Intercept[1]"
-0.118876441656186,0.22900596830105,1.00008532798789,TRUE,"Intercept[2]"
0.437413939270818,0.229392625210675,1.00009720549378,TRUE,"Intercept[3]"
0.903841660147095,0.230849023345933,1.00007962092148,TRUE,"Intercept[4]"
1.62652752381693,0.234682417012682,1.00000087021195,TRUE,"Intercept[5]"
2.4509344386371,0.243729721334968,1.00003298930791,TRUE,"Intercept[6]"
0.480899160334549,0.175953749635084,1.00003063720236,TRUE,"ConditionAsync"
-1.01754228866338,0.448385217341186,1.00006275276568,TRUE,"PositionLaying"
-1.01328286195685,0.213044762588546,1.00017837755126,TRUE,"LocationHand"
-0.335066935412696,0.238672079466408,1.00014859573714,TRUE,"Previous_ExposureRobotmanipulation"
0.311229417475644,0.720961032441199,1.00025228307131,TRUE,"Cognitive_LoadYes"
-0.0543140037692302,0.260790599296357,1.00015280979616,TRUE,"Duration_sec"
-0.0310202938899846,0.582285579330871,1.00030087075485,TRUE,"Force_fieldYes"
-0.138213042140047,0.0817035801473835,1.00007029334711,TRUE,"Age"
-0.093102068348242,0.131389730924366,1.00025287653768,TRUE,"Gender_IsMaleMale"
0.0258953741112588,0.360392875408945,1.00007543098082,TRUE,"ConditionAsync:PositionLaying"
0.104109811143635,0.27580813431902,1.00028533281088,TRUE,"ConditionAsync:LocationHand"
-0.10937952107674,0.253969620706133,0.999964265565776,TRUE,"ConditionAsync:Previous_ExposureRobotmanipulation"
-0.340633813007646,0.571526099864865,1.00008392493704,TRUE,"ConditionAsync:Cognitive_LoadYes"
0.00453901788991721,0.203697383673204,0.99995963590098,TRUE,"ConditionAsync:Duration_sec"
0.0437779085293298,0.436913172704497,0.999979192184672,TRUE,"ConditionAsync:Force_fieldYes"
-0.0933137864311909,0.0749396641334172,1.00034290961954,TRUE,"ConditionAsync:Age"
