"Estimate","Bulk_ESS","Tail_ESS","adequate_bulk","adequate_tail","Parameter"
-0.720667156709949,12484.5261430249,13600.5579687125,TRUE,TRUE,"Intercept[1]"
-0.118876441656186,12534.7945813345,14662.2988175803,TRUE,TRUE,"Intercept[2]"
0.437413939270818,12364.920084178,14406.9805198665,TRUE,TRUE,"Intercept[3]"
0.903841660147095,12358.1436799601,14575.5865959213,TRUE,TRUE,"Intercept[4]"
1.62652752381693,12147.6700962157,14910.0213981271,TRUE,TRUE,"Intercept[5]"
2.4509344386371,12189.9831315957,15047.2987916709,TRUE,TRUE,"Intercept[6]"
0.480899160334549,15115.5824745846,16319.2394813193,TRUE,TRUE,"ConditionAsync"
-1.01754228866338,14371.8147650011,14591.4678018656,TRUE,TRUE,"PositionLaying"
-1.01328286195685,27751.5762505574,19488.6595386766,TRUE,TRUE,"LocationHand"
-0.335066935412696,13400.3285177914,17285.3280009367,TRUE,TRUE,"Previous_ExposureRobotmanipulation"
0.311229417475644,10642.3662769151,12110.8156643678,TRUE,TRUE,"Cognitive_LoadYes"
-0.0543140037692302,11549.8750077314,12914.0335239148,TRUE,TRUE,"Duration_sec"
-0.0310202938899846,15552.4834547584,15092.4898052467,TRUE,TRUE,"Force_fieldYes"
-0.138213042140047,14414.483228924,16979.0882757868,TRUE,TRUE,"Age"
-0.093102068348242,13032.0554449508,17291.1065996513,TRUE,TRUE,"Gender_IsMaleMale"
0.0258953741112588,19934.8911998366,17391.3082613966,TRUE,TRUE,"ConditionAsync:PositionLaying"
0.104109811143635,27218.4522979499,20289.1302712184,TRUE,TRUE,"ConditionAsync:LocationHand"
-0.10937952107674,15745.7874815412,16099.7399462997,TRUE,TRUE,"ConditionAsync:Previous_ExposureRobotmanipulation"
-0.340633813007646,12843.6156963589,15102.9388825273,TRUE,TRUE,"ConditionAsync:Cognitive_LoadYes"
0.00453901788991721,14293.6232344981,16248.8506863933,TRUE,TRUE,"ConditionAsync:Duration_sec"
0.0437779085293298,20645.5100097462,17609.2136752663,TRUE,TRUE,"ConditionAsync:Force_fieldYes"
-0.0933137864311909,36391.6674629552,18263.7958646474,TRUE,TRUE,"ConditionAsync:Age"
