"Estimate","SE","Q2.5","Q97.5","Experiment_ID","Precision"
-0.310681654851722,0.383905778772429,-1.11568154813815,0.397041789096818,"Pilot 1",2.604805802084
0.299554769569894,0.382466866275348,-0.410970911192659,1.10997618628648,"Pilot 2",2.61460557286568
-0.0498323863738226,0.265730654812284,-0.589179642373057,0.465536391771492,"Pilot 3",3.76320903098823
0.466317684394753,0.380612746086268,-0.212616415015875,1.27234864175467,"Bernasconi (2021) Exp-1",2.62734238483265
0.131143969809915,0.338354451492023,-0.533779917372332,0.827628988733662,"Bernasconi (2021) Exp-2",2.95548054884561
-0.276195723692933,0.348732614710085,-1.01108131806601,0.358027300028099,"Pilot 4",2.8675264595809
0.0850461662085485,0.325480693290517,-0.562216736841265,0.740177637481289,"Orepic 2021 Exp-1",3.0723788556866
-0.213541297144464,0.324656296210735,-0.894366880478519,0.392077465715968,"Orepic_2021 Exp-2",3.08018052220647
-0.00792776112547537,0.29188247079636,-0.597898741888527,0.569835308551943,"Pilot 5",3.42603650459598
-0.00915545528764894,0.355768005835295,-0.682420355729428,0.720695274997343,"in-prep",2.81082048862752
0.0451831433090913,0.319865070449143,-0.569494529149949,0.701033452498119,"Serino 2021 Exp-1",3.12631822723198
0.256509438263074,0.301426957634379,-0.304509362772889,0.885001240081644,"Serino 2021 Exp-2",3.3175533066056
0.578172520296375,0.327134687807641,-0.00142363538300454,1.25366795226454,"Blanke 2014",3.05684489377052
-0.0940997586492828,0.350224829100453,-0.773697118254631,0.611601086945401,"Pilot 6",2.85530869575548
-0.852613052193844,0.399774701175906,-1.66981900060568,-0.109227590353591,"Salomon (2020)",2.50140891121569
0.178815181712601,0.300309558435395,-0.408289206664791,0.788418627316518,"Serino (2021) Exp-3",3.3298973406307
-0.00781937637802024,0.288257971865891,-0.567297194727793,0.566719849755875,"Orepic (2024) Exp-1",3.46911481242655
0.0665574059420459,0.391359463214371,-0.699919730460601,0.863520972553694,"Faivre (2020) Exp-1",2.55519565513161
0.0134598494081007,0.34276821585135,-0.693902763034149,0.664023790038129,"Faivre (2020) Exp-2",2.91742336002844
-0.0580141665150488,0.342651414666283,-0.77597985581349,0.592601792600371,"Faivre (2020) Exp-3",2.91841783572943
0.147682675582475,0.280551367625086,-0.382005692420115,0.728905011919588,"Orepic (2024) Exp-2",3.56440964257336
-0.230983094788042,0.283764677664599,-0.8223327325868,0.29429629293163,"Pilot 7",3.52404678492779
-0.330014559597845,0.381589386530079,-1.11598060095523,0.402330075297694,"Dhanis (2024) Ses-1",2.62061796082259
-0.239117339682831,0.284404529195945,-0.833145931906663,0.294711774479501,"Pilot 8",3.51611840650763
0.125705103814894,0.295276918817679,-0.427347115132388,0.741768751796211,"Albert 2024 Exp-1",3.38665143216784
0.208440290827773,0.285083093330952,-0.325459170472384,0.793215793279716,"Albert 2024 Exp-2",3.50774922607951
