"Q7","median","lower_89","upper_89","lower_66","upper_66"
"0",0.236436079419383,0.137193528412364,0.360094698303816,0.174996202740716,0.306522870575348
"1",0.21421691309424,0.170496400312171,0.250344995904549,0.189482968957517,0.236188944499472
"2",0.211325471957474,0.180486977698798,0.241244844615176,0.193607900379303,0.229272962682462
"3",0.146217849193405,0.106123089668898,0.183791626480616,0.122312781951144,0.168972820437915
"4",0.130326137738126,0.0780756016981168,0.193359698109815,0.0980932767046766,0.166932339102232
"5",0.044564618581772,0.0203009324983977,0.0866067759973931,0.0286444188681853,0.0666483456880488
"6",0.00720209709099007,0.0022624995373606,0.019419788142668,0.00369633371309357,0.013120748312449
