"Estimate","Est.Error","Q2.5","Q97.5","Experiment_ID","Precision"
0.0927188792809654,0.525620097722722,-0.942122681690752,1.15319706861281,"Pilot 1",1.90251477128168
-0.133661641166394,0.522200452657158,-1.2078280584742,0.870656815676645,"Pilot 2",1.91497344537258
0.567307588529084,0.328670591323964,-0.0560155241721467,1.23086220118494,"Pilot 3",3.04256001722503
-0.051681386370106,0.472732662365804,-1.00294175776169,0.864019899840578,"Bernasconi (2021) Exp-1",2.11536049782444
0.256716095951797,0.44264947296244,-0.607139142605678,1.15270371670782,"Bernasconi (2021) Exp-2",2.25912389165965
0.123459840877742,0.43612420182124,-0.731772877553017,0.995519352617983,"Pilot 4",2.29292480404443
-0.21976937886982,0.426462935790291,-1.0882684963478,0.609426518032339,"Orepic 2021 Exp-1",2.34486966176057
-0.176780063685761,0.423049190225993,-1.02390977324619,0.655725664054485,"Orepic_2021 Exp-2",2.36379131104305
0.0129832860065326,0.359230870728057,-0.701059155962762,0.726516355801029,"Pilot 5",2.78372512354879
-0.976129036836854,0.445462004881369,-1.9254467983273,-0.166264444819351,"in-prep",2.24486036753305
0.178579273242229,0.416838123195632,-0.646530163766728,1.00467912080919,"Serino 2021 Exp-1",2.39901281661485
0.291609990037243,0.366414200946051,-0.433918044648894,1.01936027091861,"Serino 2021 Exp-2",2.72915186534278
0.247496612273421,0.374592064322472,-0.483460133121776,0.988249702711374,"Blanke 2014",2.66957070168773
-0.823812902386862,0.426389666823749,-1.71519866404979,-0.039605973404979,"Pilot 6",2.3452725940785
0.444934175085583,0.428076566719358,-0.359286062283428,1.32050975924464,"Salomon (2020)",2.33603069577875
0.536790610196748,0.368204906391147,-0.147173843776933,1.29374686397912,"Serino (2021) Exp-3",2.71587907342465
-0.609926291141777,0.352861130036508,-1.332600297335,0.0570012744377905,"Orepic (2024) Exp-1",2.8339760740905
0.119711446995151,0.545735295215918,-0.962481630150603,1.21920299501098,"Faivre (2020) Exp-1",1.83239018763548
1.16167718109772,0.429871691035922,0.377253725188327,2.0633040246713,"Faivre (2020) Exp-2",2.32627553954567
0.168743759441934,0.406563932558932,-0.604344655514745,0.988571035381331,"Faivre (2020) Exp-3",2.45963775907507
-0.120396950255003,0.340077904996564,-0.796047122212484,0.537750307260578,"Orepic (2024) Exp-2",2.94050270631402
-0.00243408189351307,0.335218390805355,-0.663689993210894,0.664408436796597,"Pilot 7",2.98312988615428
-0.401076489935384,0.481592646387784,-1.40324422257222,0.504932761544747,"Dhanis (2024) Ses-1",2.07644366561775
-0.370568381021202,0.358239150853357,-1.08595494336391,0.329268173743927,"Pilot 8",2.79143135979949
-0.529619503384094,0.362720814331452,-1.27601316364251,0.151170048170397,"Albert 2024 Exp-1",2.75694131819578
-0.23181932016137,0.351470763895617,-0.939136419340777,0.445408294665552,"Albert 2024 Exp-2",2.84518686253229
