"Q7","median","lower_89","upper_89","lower_66","upper_66"
"0",0.33396249090108,0.25405414782094,0.421193722257606,0.285995992774633,0.384641563653137
"1",0.141298283316905,0.123185060569952,0.15955334107015,0.130511211428387,0.152133200462296
"2",0.136340576335766,0.119885933332862,0.153881475029315,0.126398233482632,0.146687057452399
"3",0.106196449812452,0.0883177010749451,0.124462279241264,0.0955132266017093,0.117076683277287
"4",0.130157027565013,0.102333302612804,0.159073962410385,0.113611415437188,0.147106014627603
"5",0.0900700026897029,0.0639486947231263,0.121185052601803,0.0738643918966734,0.107748925392874
"6",0.0570879865854823,0.0339878441755275,0.0900418918375698,0.0423085721916078,0.0749415110495626
