"Estimate","Est.Error","Q2.5","Q97.5","Experiment_ID","Precision"
0.0184578846522346,0.313959508519658,-0.595525363711057,0.644108445293008,"Pilot 1",3.18512410952315
-0.0349989564424672,0.314797753536806,-0.668886010046456,0.582739315155123,"Pilot 2",3.17664274527004
0.377661505130655,0.180244957316888,0.0348532593938466,0.743370410856804,"Pilot 3",5.54800541932445
0.0239661079399153,0.287789573195949,-0.54641456961597,0.593968252577847,"Bernasconi (2021) Exp-1",3.4747610516074
0.200982494866893,0.262065960097249,-0.312624346541762,0.725908776523542,"Bernasconi (2021) Exp-2",3.81583323385042
0.00459654588423961,0.258008165623939,-0.494327736158975,0.524290799708198,"Pilot 4",3.87584632285458
-0.148202578806425,0.261620643786986,-0.672910129837734,0.360483818493005,"Orepic 2021 Exp-1",3.82232833588702
-0.180342231851313,0.257215426816903,-0.692873767635741,0.32742470768536,"Orepic_2021 Exp-2",3.88779169420442
0.0259948635274674,0.203964390717888,-0.371050881661316,0.432218273186217,"Pilot 5",4.90281659695756
-0.693375458743368,0.238378769508884,-1.19137297221015,-0.25643811992562,"in-prep",4.19500445471815
0.157683306368331,0.251431913592245,-0.343174563223887,0.654080456936328,"Serino 2021 Exp-1",3.9772198592965
0.283832916239125,0.203311846697108,-0.118377291181598,0.692171579363339,"Serino 2021 Exp-2",4.91855254007796
0.330825247563023,0.215088895775672,-0.0964683008078151,0.757745957251772,"Blanke 2014",4.64924047517058
-0.563725156254113,0.228191248757676,-1.04027283021254,-0.14175565598032,"Pilot 6",4.38228900294917
0.0839144989915312,0.225382146858658,-0.338013695434957,0.547861644928965,"Salomon (2020)",4.43690866352037
0.434314012528861,0.202643064415282,0.0486879731239879,0.846326877131863,"Serino (2021) Exp-3",4.9347852238884
-0.36404212989162,0.18958715778962,-0.750005122630648,-0.00148848028636819,"Orepic (2024) Exp-1",5.27461887006963
0.13465056461653,0.33073356169267,-0.520292622313164,0.787901709220836,"Faivre (2020) Exp-1",3.02358186717451
0.751597892131569,0.233798935357799,0.317052582293987,1.23223907826548,"Faivre (2020) Exp-2",4.27717944253951
0.0982027151978108,0.233493188387779,-0.35630259789204,0.567263184381874,"Faivre (2020) Exp-3",4.28278018260313
-0.0205296881415136,0.182201330251468,-0.385394770702073,0.332531750779852,"Orepic (2024) Exp-2",5.48843413283446
-0.088852397929292,0.184682597171201,-0.455480049167189,0.274385163595121,"Pilot 7",5.41469534930245
-0.262437532290012,0.287193167716424,-0.852083509257249,0.282908622588299,"Dhanis (2024) Ses-1",3.48197698417187
-0.294972819103859,0.181496525408136,-0.65713974406616,0.0537010119559195,"Pilot 8",5.50974735054168
-0.294636712898319,0.195168220446247,-0.693526828347112,0.0744620068049006,"Albert 2024 Exp-1",5.12378499795472
-0.127446328164709,0.190498695075133,-0.515593311940321,0.242232550347723,"Albert 2024 Exp-2",5.24937979026889
