"Estimate","Est.Error","Rhat","converged","Parameter"
-0.429328977695246,0.146523605105551,1.00033495340327,TRUE,"Intercept[1]"
-0.0587276932626035,0.146286555653218,1.00032393478955,TRUE,"Intercept[2]"
0.291214750319511,0.146322504806849,1.00034957430885,TRUE,"Intercept[3]"
0.588109228891333,0.146732109663057,1.00034874498286,TRUE,"Intercept[4]"
1.04798445359021,0.148074790425767,1.00037731605635,TRUE,"Intercept[5]"
1.58137740143086,0.15254271635593,1.0003459447991,TRUE,"Intercept[6]"
0.325971900833767,0.109854140522664,1.00013856221963,TRUE,"ConditionAsync"
-0.654820286566188,0.282205142282901,1.00014121939846,TRUE,"PositionLaying"
-0.612960509961343,0.178454741326127,1.00003660292733,TRUE,"LocationHand"
-0.107241747632727,0.155317052025642,1.00028023944875,TRUE,"Previous_ExposureRobotmanipulation"
0.176768819908917,0.457496583463273,1.000190431617,TRUE,"Cognitive_LoadYes"
-0.0325988318641315,0.161912979971294,1.00016179301001,TRUE,"Duration_sec"
-0.0291836318723189,0.363174939350449,1.00051980262588,TRUE,"Force_fieldYes"
-0.0840141663445264,0.047751095630673,1.00006559296277,TRUE,"Age"
-0.0730219296145405,0.0634442461658256,1.0001892481762,TRUE,"Gender_IsMaleMale"
0.0666485150761947,0.233559750779374,1.00008536970203,TRUE,"ConditionAsync:PositionLaying"
0.0146952416580903,0.230102046093206,1.00021630568094,TRUE,"ConditionAsync:LocationHand"
-0.149946735747354,0.170187149843373,1.00015693042713,TRUE,"ConditionAsync:Previous_ExposureRobotmanipulation"
-0.203233897491035,0.344672226701949,1.00013046907494,TRUE,"ConditionAsync:Cognitive_LoadYes"
0.000612983700634889,0.128760167375285,1.00009190763908,TRUE,"ConditionAsync:Duration_sec"
0.077058254398063,0.276434388396515,1.00064600189315,TRUE,"ConditionAsync:Force_fieldYes"
-0.0851449043947144,0.0654955410362276,0.999999380300727,TRUE,"ConditionAsync:Age"
