"Estimate","SE","Q2.5","Q97.5","Experiment_ID","Precision"
-0.0546945985830168,0.160399692223538,-0.448483624139385,0.22174188640075,"Pilot 1",6.23442592774038
0.0522163085213783,0.159973550153583,-0.22827536800467,0.45135389203134,"Pilot 2",6.25103336795331
0.0202114906644039,0.136948544521416,-0.275726663315858,0.306375149244176,"Pilot 3",7.30201261718133
0.0865662080296843,0.166160943890185,-0.155483713975595,0.510346009227797,"Bernasconi (2021) Exp-1",6.01826143128374
0.0359490047734772,0.145198802133688,-0.253297246421539,0.371161334288593,"Bernasconi (2021) Exp-2",6.88710915865046
-0.0448978940943221,0.146197360609923,-0.402282685004998,0.217438004564334,"Pilot 4",6.84006876613974
0.00937393759788573,0.141499684050197,-0.282724932396195,0.332582581654702,"Orepic 2021 Exp-1",7.06715358915749
-0.0475971959048207,0.143273102204932,-0.38890465035735,0.213270842418449,"Orepic_2021 Exp-2",6.97967716626697
-0.00240560192526402,0.130283254450256,-0.290947504963464,0.276278974103436,"Pilot 5",7.67558351393358
-0.0690940590601581,0.179573039681259,-0.461989610546085,0.285520355764693,"in-prep",5.56876467522625
0.0120411406294191,0.137363175618788,-0.28595893395122,0.314945805241605,"Serino 2021 Exp-1",7.27997147339701
0.0610047236225577,0.145487433032294,-0.199466529182342,0.413123611545342,"Serino 2021 Exp-2",6.87344589946835
0.127954976705669,0.173423407676391,-0.113630614758326,0.574059004125694,"Blanke 2014",5.766234289814
-0.0631319775844319,0.165508182020532,-0.433369047138708,0.262887575498384,"Pilot 6",6.04199736709057
-0.130088216573604,0.189451185590394,-0.629848696203391,0.0990376622817203,"Salomon (2020)",5.27840454987739
0.0716161272706652,0.149415947292831,-0.202744564277905,0.417949630437656,"Serino (2021) Exp-3",6.69272603171443
-0.0372187153222661,0.139641384895167,-0.350311297646807,0.249288609378308,"Orepic (2024) Exp-1",7.1612008198768
0.0219421238766307,0.157337047029378,-0.296855712302855,0.382369874756169,"Faivre (2020) Exp-1",6.35578218150542
0.0752493390785313,0.179725137771317,-0.27583835949749,0.472750202903071,"Faivre (2020) Exp-2",5.56405193174704
0.00495408322435311,0.142632652008934,-0.311969311662076,0.306158747106937,"Faivre (2020) Exp-3",7.01101736464496
0.0212552642544739,0.128509368710209,-0.231002491764879,0.322173136229486,"Orepic (2024) Exp-2",7.78153382929626
-0.0458309284453511,0.133054698786543,-0.369198193423273,0.198148858599779,"Pilot 7",7.51570601504483
-0.0800581136677776,0.165761401567453,-0.483832493339458,0.190626250240954,"Dhanis (2024) Ses-1",6.03276752334332
-0.0625954566694146,0.138599363723448,-0.390547810994703,0.185720772078504,"Pilot 8",7.21504033738085
-0.00891775676309877,0.136133375291644,-0.288004848154456,0.295842565858558,"Albert 2024 Exp-1",7.34573720704171
0.020735428330364,0.129318965471552,-0.228843216062541,0.325396663569009,"Albert 2024 Exp-2",7.73281781487791
